country,iso2c,iso3c,year,status,lastupdated,fertility,edu_upper,edu_lower,edu_tertiary,gdp,urban,female_labor,contraceptive,region,capital,longitude,latitude,income,lending,eys_f,gii,mmr,pr_f
Afghanistan,AF,AFG,2007,,2025-04-15,6.508,NA,NA,NA,376.223152003876,23.113,14.686,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5.60400219,NA,1023.495471,25.87209302
Afghanistan,AF,AFG,2010,,2025-04-15,6.195,NA,NA,NA,560.621505463146,23.737,15.576,21.8,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6.95927,0.704,898.6692492,27.63532764
Afghanistan,AF,AFG,2011,,2025-04-15,6.094,NA,NA,NA,606.694676337726,23.948,15.895,21.23950997,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7.385709763,0.716,883.7139303,27.63532764
Afghanistan,AF,AFG,2021,,2025-04-15,5.039,5.19999980926514,6.40000009536743,1.14999997615814,356.496214115892,26.314,14.666,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.086575995,0.642,620.4075093,27.21518987
Afghanistan,AF,AFG,2012,,2025-04-15,5.985,NA,NA,NA,651.417134470046,24.16,16.208,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7.606156667,0.731,833.4771838,27.63532764
Afghanistan,AF,AFG,2009,,2025-04-15,6.295,NA,NA,NA,452.053705477043,23.528,15.256,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6.532830238,0.696,913.035763,25.92592593
Afghanistan,AF,AFG,2020,,2025-04-15,5.145,5.58141565322876,7.33971500396729,1.43156433105469,510.787063366811,26.026,16.473,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.053256911,0.674,620.4075093,27.21518987
Afghanistan,AF,AFG,2000,,2025-04-15,7.566,NA,NA,NA,174.930991430166,22.078,14.321,5.3,South Asia,Kabul,69.1761,34.5228,Low income,IDA,3.825189927,NA,1346.144101,NA
Afghanistan,AF,AFG,2014,,2025-04-15,5.77,3.0244882106781,3.44174790382385,0.506414830684662,625.054941813938,24.587,18.107,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.047050476,0.687,785.3540179,27.63532764
Afghanistan,AF,AFG,2015,,2025-04-15,5.652,3.34751009941101,4.57541990280151,NA,565.569730408751,24.803,19.113,22.5,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.032045364,0.683,775.6927403,27.44479495
Afghanistan,AF,AFG,2016,,2025-04-15,5.542,NA,NA,NA,522.082215583898,25.02,20.156,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.017040253,0.682,749.8157015,27.44479495
Afghanistan,AF,AFG,2017,,2025-04-15,5.433,4.24002742767334,5.88423299789429,1.93327450752258,525.469770891619,25.25,21.24,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.002035141,0.679,681.8075592,27.44479495
Afghanistan,AF,AFG,2018,,2025-04-15,5.327,NA,NA,NA,491.337221382603,25.495,19.808,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7.987030029,0.677,663.4275029,27.44479495
