country,iso2c,iso3c,year,status,lastupdated,fertility,edu_upper,edu_lower,edu_tertiary,gdp,urban,female_labor,contraceptive,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2007,,2025-04-15,6.508,NA,NA,NA,376.223152003876,23.113,14.686,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2025-04-15,6.195,NA,NA,NA,560.621505463146,23.737,15.576,21.8,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2025-04-15,6.094,NA,NA,NA,606.694676337726,23.948,15.895,21.23950997,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2021,,2025-04-15,5.039,5.19999980926514,6.40000009536743,1.14999997615814,356.496214115892,26.314,14.666,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,,2025-04-15,5.985,NA,NA,NA,651.417134470046,24.16,16.208,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2025-04-15,6.295,NA,NA,NA,452.053705477043,23.528,15.256,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2020,,2025-04-15,5.145,5.58141565322876,7.33971500396729,1.43156433105469,510.787063366811,26.026,16.473,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2025-04-15,7.566,NA,NA,NA,174.930991430166,22.078,14.321,5.3,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2025-04-15,5.77,3.0244882106781,3.44174790382385,0.506414830684662,625.054941813938,24.587,18.107,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2025-04-15,5.652,3.34751009941101,4.57541990280151,NA,565.569730408751,24.803,19.113,22.5,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2016,,2025-04-15,5.542,NA,NA,NA,522.082215583898,25.02,20.156,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2017,,2025-04-15,5.433,4.24002742767334,5.88423299789429,1.93327450752258,525.469770891619,25.25,21.24,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2018,,2025-04-15,5.327,NA,NA,NA,491.337221382603,25.495,19.808,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2019,,2025-04-15,5.238,NA,NA,NA,496.6025042585,25.754,18.304,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2025-04-15,6.392,NA,NA,NA,381.73323802844,23.32,14.957,22.8,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2025-04-15,5.879,NA,NA,NA,637.087099117099,24.373,17.138,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2025-04-15,7.018,NA,NA,NA,221.763653873013,22.5,14.228,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2022,,2025-04-15,4.932,5.70547008514404,7.04204988479614,1.53609001636505,357.261152798144,26.616,5.159,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2023,,2025-04-15,4.84,NA,NA,NA,415.707417059086,26.933,5.155,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2025-04-15,7.174,NA,NA,NA,198.871115728727,22.353,14.178,10.3,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2025-04-15,7.453,NA,NA,NA,138.706821676113,22.169,14.223,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2025-04-15,7.32,NA,NA,NA,178.954088379235,22.261,14.177,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2025-04-15,6.858,NA,NA,NA,254.184249149336,22.703,14.323,13.6,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2025-04-15,6.686,NA,NA,NA,274.218553561575,22.907,14.472,18.6,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Albania,AL,ALB,2003,,2025-04-15,2.006,NA,NA,NA,1846.12012081207,44.573,48.461,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2019,,2025-04-15,1.395,46.0620880126953,88.8029632568359,18.4749889373779,5460.42823730592,61.229,52.93,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2020,,2025-04-15,1.371,NA,NA,NA,5370.77862312929,62.112,50.616,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2005,,2025-04-15,1.787,NA,NA,NA,2673.78781583529,46.731,47.242,60.12268719,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2021,,2025-04-15,1.365,47.0853271484375,90.1680679321289,19.4729270935059,6413.28328605026,62.969,51.887,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2018,,2025-04-15,1.415,45.2219161987305,88.39501953125,17.2314472198486,5365.48934672897,60.319,51.407,46,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2004,,2025-04-15,1.889,NA,NA,NA,2373.58129170055,45.651,47.845,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
